15776,Kristin Lopez,2000-11-04,10722466
91562,Lance Richardson,2001-10-17,97129567
96702,Jose Parker,2002-01-28,47514223
95985,William Brennan,2000-02-15,31889698
79853,Holly Erickson,2003-03-07,54865651
87090,Michael Davis,2006-06-27,80618560
88302,Jordan Henson,2003-10-22,39595388
60145,Dawn Black,1999-09-11,95205483
38428,Preston Hardy,2005-03-31,30328535
46573,Michelle Brown,2003-07-12,11404674
34393,Grant Coffey,2002-01-14,86430416
90355,Yvonne Cohen,2000-04-14,59186519
46084,Christina Miller,1999-03-31,45301318
27043,Caroline Campbell,2001-02-08,33163108
59990,Kelly Williams,2001-07-30,56785463
54191,Samantha Robbins,2001-02-06,54244877
59008,Brooke Lewis,2006-03-11,47415556
43330,Joseph Walker,2006-02-18,48746944
58825,Larry Davenport,2005-04-29,55483822
20839,Renee Carrillo,1999-03-24,69429440
73101,Melanie Greene,2006-08-03,11578143
50106,John Casey,2005-08-24,54901776
74638,David Miller,2000-10-15,94270787
92088,Brian Turner,2006-08-02,50332689
71616,Eric Schmidt,2002-02-04,73438267
77907,Kelly Kelly,1999-11-10,39677896
21235,Thomas Mccormick,2000-08-15,11027254
23973,Jason Gutierrez,2003-06-17,33019601
77641,Kimberly French,2000-12-22,15154676
28450,Austin Turner,2006-07-24,20098247
74586,Javier Farley,2005-03-02,32224678
36091,Robert Nguyen,2003-03-10,17969347
68653,Stephanie Freeman,2001-11-18,20611276
24914,Tim Griffith,2003-03-31,16333296
54959,Joshua Fowler,2004-06-17,34794424
79509,Erin Cooley,2005-10-19,66652343
63454,Michelle Maddox,2003-04-09,51235459
59276,Alan Floyd,2006-05-23,27792160
38975,Kelsey Parker,2003-05-30,77118420
37386,Julie Thomas,2005-05-02,22273347
69858,Michael Ramirez,2003-11-16,79923222
81231,Duane Lewis,2001-06-02,22665405
65060,Linda Anderson,2005-03-09,49992298
99099,Sarah Flores,2004-04-24,25959556
11715,David Brennan,2003-05-31,54030695
23954,Paul Weaver,2003-03-22,84526254
20938,Antonio Phillips,2004-02-10,49158111
65523,Shelby Martin,2002-01-12,95982375
90359,Micheal Manning,2000-01-04,81906761
61685,Carrie Johnson,1998-12-02,44699982
30200,Mandy Harrison,2002-12-21,65132205
64182,Kayla Carter,1998-11-18,89945831
66031,Lee Shaw,2003-09-28,56984610
29458,Austin Gonzalez,2005-09-18,15391876
44259,William Rojas,2004-08-02,30886149
81585,Joanne Rice,2001-06-29,56475493
75014,Brandon Hill,2002-04-21,96413647
62356,David Howard,2000-08-12,20724200
70100,Margaret Tucker,2001-09-07,10139432
99208,Dylan Cox,2003-01-11,37836201
56412,Michael Bailey,1999-08-09,64322420
89246,Angela Smith,2001-06-23,95165174
84160,Daniel Reynolds,2006-02-18,92692293
81003,Dawn Vasquez MD,2002-05-26,84384317
23511,Jonathan Tucker,2001-11-16,60025919
55555,Amanda Williams,2002-06-21,79585554
28015,Jill Martinez,2002-05-23,65302191
22627,Stephen Hunt,1999-08-07,41395256
43551,Wendy Lee,2003-03-22,51970928
20611,Jacob Holmes,2006-03-07,97405092
96501,Lisa Jones,2003-10-05,36973468
94444,Christina Jones,2002-06-08,41112966
40807,Cindy May,2000-05-09,43348501
76291,Gregory Carter,1998-12-28,37137809
86485,William Guerrero,2003-12-23,28502933
55846,Anna Sampson,2000-04-19,33071573
13602,Jessica Richardson,2003-09-30,46566314
91238,Amber Keith,1999-06-24,51366946
50679,Terry Cook,2003-04-28,60987182
99811,William Henson,2005-02-25,14444628
76600,William Smith,2003-08-07,36561175
51202,Nicole Reed,2000-11-05,97745650
33747,Brian Murray,1999-05-27,13009628
85280,Daniel Foley,2000-01-01,18875801
84838,Danielle Mccarthy,2000-10-05,55315752
69649,Melissa Thompson,2004-08-02,40037840
83155,Allison Tucker,1999-11-03,85781343
81721,Tara Smith,2000-07-19,79903485
53376,Jessica Moody,2001-09-13,25787100
33278,Adrian Williams,2005-01-20,26213338
55498,Samuel Larson,1999-01-01,35770853
37564,Tina Reed,2000-12-09,10313495
32163,Katherine Hill DVM,2000-12-25,79737653
76060,Travis Diaz Jr.,2004-10-11,47344206
19421,Juan Johnson,2004-03-09,93999480
88737,Mark Fritz,1999-07-01,76043389
14298,Hannah Foster,2001-10-12,65756876
58156,Robert Ward,2005-04-21,97371564
81596,Michelle Horton,2004-07-07,65016397
82488,Jack Barnett,2002-06-26,71199981
35581,David Valdez,2001-12-18,27953137
94925,Ryan Smith,2006-05-22,68616080
62925,Joseph Peterson,1999-08-02,14279223
57424,Jeffrey Brown,2005-07-28,99719404
50343,Denise Williams,1999-04-20,64546361
60713,Brandi Daugherty,2001-12-20,42546337
28023,Michael Arnold,2006-02-21,18017965
47602,Brooke Kim,2003-09-13,20221913
51810,Lisa Phillips,2003-04-18,45658909
48121,James Williams,2006-06-04,52969247
35132,Megan Pace,2000-06-19,99879351
88188,Rodney Sanders,1999-01-09,88934644
47458,John Lewis DDS,2006-03-01,31401008
40326,Mrs. Kristen Rodriguez,2001-08-22,53946611
10459,Jonathan Lopez,2001-05-23,25095691
12029,Rebecca Phelps,1999-01-26,93626607
67153,Alyssa Krause,2003-04-21,84218913
35129,John Baxter,2000-09-27,48298014
47444,Eric Cook,2006-08-08,74543206
58630,Katie Wright,2000-10-11,27385061
27440,Hailey Rosales,2003-05-16,36360518
10974,Samantha Clark,2005-01-02,29727626
34592,Kevin Bailey,2002-10-20,34502074
29584,Steven Mckenzie,2002-05-24,89358128
15318,John Robles,2004-09-21,26056648
93872,Jacqueline Braun,2001-03-01,96930218
46743,Kristen Keith,2002-05-13,75503043
26931,Kevin Marshall,2005-07-29,13946212
86550,Christopher Lamb,2005-09-23,75583717
18363,John Benjamin,2002-05-02,47615250
90189,Russell Ford,2002-12-20,22401392
31834,Benjamin Reeves,2002-01-27,56743427
86471,Tiffany Mckinney,2001-12-11,26196126
56394,Destiny Jackson,2005-10-16,36961672
98718,Morgan Francis,2004-08-09,72207146
91049,Patricia Allen,2000-08-09,84062254
87688,Matthew Crawford,2006-07-27,67476983
78257,Rebecca Gates,1999-11-01,87274520
98002,Richard Hall,2002-11-13,72859234
51832,Clinton Harris,2006-06-07,71294716
21258,Thomas Webster,2006-09-23,11767644
97629,Mrs. Sherry Ross,2001-10-30,87846096
46431,Diana Curry,2002-09-17,56142919
42702,Katie Allen,2000-12-06,99566008
94591,Colin Yates,2006-01-26,57440141
37587,Lisa Small,1999-04-27,94919779
10763,Nichole Hudson,1998-12-09,60546718
72483,Ronald Woods,2001-04-29,82261221
74732,Amanda Newman,2005-03-26,84117931
66782,Christopher Pennington,1998-12-03,63467306
43626,Shawn Mcmahon,2002-05-05,34694487
47198,David Velazquez,2004-01-22,97726850
71055,Joseph James,2002-02-04,66579406
90758,Jenna Livingston,2000-05-18,91185402
84018,Jerry Johnson,2005-10-28,51977422
96318,William Kramer,2006-01-04,71320032
37021,Randy Morales,2001-10-20,90082573
14934,Cassidy Hudson,2005-03-03,37307857
48327,Philip Cooper,2000-03-20,74859738
60072,Charles Horn,2003-09-17,38622880
89690,Michelle Reyes,2000-06-04,97020550
46169,Natalie Villa,2001-02-10,66162172
91298,Randy Rose,2000-03-25,63100856
98752,Christina Navarro,2005-08-22,27250249
37607,Scott Smith,2004-08-26,37126089
54758,Pamela Mcguire,2001-02-07,80783110
79147,Matthew Abbott,2002-01-17,73906538
46861,Robert Taylor,2005-05-13,14449185
96672,Derek Stephens,2004-05-23,26157898
14123,Lisa Martinez,2004-01-30,24979033
